bus,bits,Lmax_in,Td_ps,Tr_ns,NEXT_mV,pct_swing,saturated,FEXT_mV
ap_done,16,2.764,374.1,0.25,114.8,6.38,yes,6.7
dp_tpp_model,2,2.754,372.7,0.25,114.8,6.38,yes,6.7
bank0_addr,12,2.676,362.2,0.25,114.8,6.38,yes,6.5
input_data,16,2.544,344.2,0.25,114.8,6.38,yes,6.2
bank1_init_pad_in,4,2.225,301.1,0.25,114.8,6.38,yes,5.4
bank0_init_pad_in,4,1.969,266.5,0.25,114.8,6.38,yes,4.8
o_start_w,10,1.463,198.0,0.25,114.8,6.38,yes,3.6
REP_SEL,6,1.451,196.4,0.25,114.8,6.38,yes,3.5
bank1_addr,12,1.315,177.9,0.25,114.8,6.38,yes,3.2
output_data,16,1.154,156.1,0.25,114.8,6.38,yes,2.8
ap_done,16,2.764,374.1,0.5,114.8,6.38,yes,3.4
dp_tpp_model,2,2.754,372.7,0.5,114.8,6.38,yes,3.4
bank0_addr,12,2.676,362.2,0.5,114.8,6.38,yes,3.3
input_data,16,2.544,344.2,0.5,114.8,6.38,yes,3.1
bank1_init_pad_in,4,2.225,301.1,0.5,114.8,6.38,yes,2.7
bank0_init_pad_in,4,1.969,266.5,0.5,114.8,6.38,yes,2.4
o_start_w,10,1.463,198.0,0.5,90.9,5.05,no,1.8
REP_SEL,6,1.451,196.4,0.5,90.2,5.01,no,1.8
bank1_addr,12,1.315,177.9,0.5,81.7,4.54,no,1.6
output_data,16,1.154,156.1,0.5,71.7,3.98,no,1.4
ap_done,16,2.764,374.1,1.0,85.9,4.77,no,1.7
dp_tpp_model,2,2.754,372.7,1.0,85.5,4.75,no,1.7
bank0_addr,12,2.676,362.2,1.0,83.1,4.62,no,1.6
input_data,16,2.544,344.2,1.0,79.0,4.39,no,1.5
bank1_init_pad_in,4,2.225,301.1,1.0,69.1,3.84,no,1.4
bank0_init_pad_in,4,1.969,266.5,1.0,61.2,3.4,no,1.2
o_start_w,10,1.463,198.0,1.0,45.4,2.52,no,0.9
REP_SEL,6,1.451,196.4,1.0,45.1,2.5,no,0.9
bank1_addr,12,1.315,177.9,1.0,40.8,2.27,no,0.8
output_data,16,1.154,156.1,1.0,35.8,1.99,no,0.7
ap_done,16,2.764,374.1,2.0,42.9,2.38,no,0.8
dp_tpp_model,2,2.754,372.7,2.0,42.8,2.38,no,0.8
bank0_addr,12,2.676,362.2,2.0,41.6,2.31,no,0.8
input_data,16,2.544,344.2,2.0,39.5,2.19,no,0.8
bank1_init_pad_in,4,2.225,301.1,2.0,34.6,1.92,no,0.7
bank0_init_pad_in,4,1.969,266.5,2.0,30.6,1.7,no,0.6
o_start_w,10,1.463,198.0,2.0,22.7,1.26,no,0.4
REP_SEL,6,1.451,196.4,2.0,22.5,1.25,no,0.4
bank1_addr,12,1.315,177.9,2.0,20.4,1.13,no,0.4
output_data,16,1.154,156.1,2.0,17.9,1.0,no,0.4
ap_done,16,2.764,374.1,5.0,17.2,0.95,no,0.3
dp_tpp_model,2,2.754,372.7,5.0,17.1,0.95,no,0.3
bank0_addr,12,2.676,362.2,5.0,16.6,0.92,no,0.3
input_data,16,2.544,344.2,5.0,15.8,0.88,no,0.3
bank1_init_pad_in,4,2.225,301.1,5.0,13.8,0.77,no,0.3
bank0_init_pad_in,4,1.969,266.5,5.0,12.2,0.68,no,0.2
o_start_w,10,1.463,198.0,5.0,9.1,0.5,no,0.2
REP_SEL,6,1.451,196.4,5.0,9.0,0.5,no,0.2
bank1_addr,12,1.315,177.9,5.0,8.2,0.45,no,0.2
output_data,16,1.154,156.1,5.0,7.2,0.4,no,0.1
